FLEX Test #,FLEX Identifier,Test Date,Test GMT,Fuel,Ambient pressure; mmHg,O initial ambient composition; mole fraction,N initial ambient composition; mole fraction,CO initial ambient composition; mole fraction,He initial ambient composition; mole fraction,Droplet initial diameter; mm,Visible flame extinction diameter; mm,Burning rate; mm,Burn time; s,Test end
247,H07M202,10/7/2011,15:06:17,Methanol,759.8,0.14,0.51,0,0.35,1.88,1.73,0.58,1,Extinction
248,H08M101,10/11/11,12:11:56,Methanol,763.5,0.13,0.47,0,0.4,3.56,3.54,0.51,0.3,Extinction
249,H10H101,10/12/11,20:16:43,Heptane,534,0.24,0.56,0,0.2,3.78,2.52,0.72,12.2,Extinction
250,H11H101,10/12/11,21:58:55,Heptane,532.2,0.23,0.52,0,0.25,2.8,0.12,0.71,11.4,Completion
251,H10M101,11/18/11,14:48:10,Methanol,534.3,0.24,0.56,0,0.2,2.82,1.03,0.62,11.2,Extinction
252,H10M102,11/18/11,15:19:28,Methanol,534.6,0.24,0.56,0,0.2,2.79,1.53,0.7,8.1,Disruption
253,H11M101,11/18/11,16:59:20,Methanol,531.7,0.23,0.52,0,0.25,2.45,0.86,0.6,8.3,Extinction
254,H11M102,11/18/11,17:51:23,Methanol,531.8,0.23,0.52,0,0.25,2.61,,0.73,6.3,Disruption
255,H12M101,11/18/11,18:53:50,Methanol,531.9,0.21,0.49,0,0.3,3.22,,0.56,10.4,Extinction
256,H12M102,11/18/11,21:29:35,Methanol,531.2,0.21,0.49,0,0.3,3.25,1.78,0.65,12.1,Extinction
257,H12M201,11/18/11,21:53:16,Methanol,531.2,0.21,0.49,0,0.3,2.67,1.42,0.7,7.6,Extinction
258,H12H101,11/22/11,13:04:17,Heptane,529.6,0.21,0.49,0,0.3,3.23,2.33,0.67,7.5,Extinction
259,H12H201,11/22/11,15:49:36,Heptane,529,0.21,0.49,0,0.3,2.86,0.71,0.7,11,Extinction
260,H13H101,11/22/11,20:40:42,Heptane,532.5,0.2,0.45,0,0.35,3.69,3.32,0.61,4.3,Extinction
